127.0.0.1 - - [2021-11-02T18:11:11.177Z] "GET /manager/text/list HTTP/1.1" 200 - - 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.144Z] "GET /_framework/Progress.Messages.dll HTTP/1.1" 200 109272 ROOT:f:00000023 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.148Z] "GET /_framework/System.IO.Pipelines.dll HTTP/1.1" 200 67464 ROOT:f:00000022 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.255Z] "GET /_framework/Progress.o4glrt.dll HTTP/1.1" 200 695000 ROOT:f:00000024 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.322Z] "GET /_framework/System.Buffers.dll HTTP/1.1" 200 4608 ROOT:f:00000027 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.323Z] "GET /_framework/System.Collections.Immutable.dll HTTP/1.1" 200 80384 ROOT:f:00000029 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.324Z] "GET /_framework/sports2000.dll HTTP/1.1" 200 17408 ROOT:f:00000025 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.326Z] "GET /_framework/System.Collections.Concurrent.dll HTTP/1.1" 200 24064 ROOT:f:00000028 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.430Z] "GET /_framework/System.ComponentModel.Annotations.dll HTTP/1.1" 200 6656 ROOT:f:0000002d 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.523Z] "GET /_framework/Microsoft.Win32.Primitives.dll HTTP/1.1" 200 6656 ROOT:f:00000026 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.525Z] "GET /_framework/System.Collections.NonGeneric.dll HTTP/1.1" 200 17408 ROOT:f:0000002a 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.526Z] "GET /_framework/System.Collections.Specialized.dll HTTP/1.1" 200 12288 ROOT:f:0000002b 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.639Z] "GET /_framework/System.Collections.dll HTTP/1.1" 200 38912 ROOT:f:0000002c 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.709Z] "GET /_framework/System.ComponentModel.dll HTTP/1.1" 200 5120 ROOT:f:00000030 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.713Z] "GET /_framework/System.Console.dll HTTP/1.1" 200 13824 ROOT:f:00000031 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.751Z] "GET /_framework/System.ComponentModel.TypeConverter.dll HTTP/1.1" 200 115712 ROOT:f:0000002f 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.825Z] "GET /_framework/System.Diagnostics.Process.dll HTTP/1.1" 200 6144 ROOT:f:00000035 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.856Z] "GET /_framework/System.Diagnostics.TraceSource.dll HTTP/1.1" 200 7680 ROOT:f:00000036 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.954Z] "GET /_framework/System.Diagnostics.Debug.dll HTTP/1.1" 200 5120 ROOT:f:00000033 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:49.958Z] "GET /_framework/System.Diagnostics.DiagnosticSource.dll HTTP/1.1" 200 21504 ROOT:f:00000034 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.173Z] "GET /_framework/System.Drawing.Primitives.dll HTTP/1.1" 200 34304 ROOT:f:00000037 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.187Z] "GET /_framework/System.ComponentModel.Primitives.dll HTTP/1.1" 200 14848 ROOT:f:0000002e 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.193Z] "GET /_framework/System.Drawing.dll HTTP/1.1" 200 5120 ROOT:f:00000038 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.204Z] "GET /_framework/System.Data.Common.dll HTTP/1.1" 200 626176 ROOT:f:00000032 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.207Z] "GET /_framework/System.IO.Compression.dll HTTP/1.1" 200 31232 ROOT:f:00000039 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.210Z] "GET /_framework/System.IO.FileSystem.dll HTTP/1.1" 200 34304 ROOT:f:0000003a 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.509Z] "GET /_framework/System.Memory.dll HTTP/1.1" 200 21504 ROOT:f:0000003e 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.534Z] "GET /_framework/System.Linq.dll HTTP/1.1" 200 118784 ROOT:f:0000003d 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.538Z] "GET /_framework/System.Linq.Expressions.dll HTTP/1.1" 200 229376 ROOT:f:0000003b 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.541Z] "GET /_framework/System.Linq.Queryable.dll HTTP/1.1" 200 54784 ROOT:f:0000003c 
0:0:0:0:0:0:0:1 - anonymousUser [2021-11-02T18:11:50.578Z] "GET /_framework/System.Net.Http.Json.dll HTTP/1.1" 200 12288 ROOT:f:0000003f 
